Last Name ,First Name,Artist Gender,Title,Year,Interior/ Exterior ,Category,Object Type,Material
Hurley,Arnold,Male ,"""Project Adventure""",1983,Interior ,Mural,Paintings ,Acrylic on masonite 
Dorrien,Carlos,Male ,"""Quiet Cornerstone""",1986,Exterior ,Sculpture ,Stone ,Granite 
Slosberg-Ackerman,Jill,Female,"""Rei""",2004,Exterior ,Sculpture ,Metal ,Steel 
Lord,Madeleine,Female,"""Revolutionary Figures""",1987,Exterior ,Sculpture ,Metal-Painted Steel,Cut and painted steel 
Conley,Alston,Male ,"""Room of Maps""",1983,Interior ,Mural,Fresco ,Fresco 
Uchida,Bart,Male ,"""Rose Arbor""",2004,Exterior ,Sculpture ,Metal  ,Steel
Houck,Lisa,Female,"""Scientific Observations of the Square""",1995,Interior ,Sculpture,Tiles-Terra Cotta ,Terra cotta tiles 
Galston,Beth,Female ,"""Shadow Walk"" (formerly ""Sun Arc"")",1984/1996,Exterior ,Sculpture ,Metal-Steel,Steel 
Mandel,Mike,Male ,"""Sidewalk Histories""",2010,Exterior ,Sculpture ,Mosaic-Ceramic Tiles inSidewalk,Ceramic tiles in sidewalk
Hsu,Lillian,Female ,"""Sitting Coves""",2001,Interior ,Sculpture ,Mixed media,"Wood, paint, glass block"
Beatty,Michael,Male ,"""Spectrum""",2001,Interior ,Sculpture ,Mixed media,"Wood, steel "
Phillips,David,Male ,"""Spiral""",1997,Exterior ,Sculpture ,Bronze,Bronze
Phillips,David,Male ,"""Stone Work""",1980,Exterior ,Sculpture ,Bronze ,"Bronze, granite "
Coogan,Jay,Male ,"""Stop-Action-Frieze""",1997,Interior ,Sculpture ,Metal-Painted Aluminum,Aluminum
Zeigler,Mel,Male ,"""Taking Note""",2013,Interior,Sculture,Metal-Painted Aluminum,Painted Aluminum
Jonas ,"Paul, Ramirez",Male ,"""Taylor Square""",2005,Exterior ,Sculpture ,Mixed media installation,"Painted Metal, Stone"
Houck,Lisa,Female,"""The Bluefish is good tonight""",1987,Interior ,Mural,Painting-Acrylic on Aluminum Panels,Enamel paint on aluminum
Oatman,Michael,Male ,"""The Cantabrigians""",2009,Interior ,Electronic Media ,Digital-Moving Image,3 LCD monitors and a Mac Mini
Gillick,Liam,Male ,"""The Librarian Speaks""",2009,Exterior ,Sculpture,Metal-Painted Aluminium,Painted Aluminium
Houck,Lisa,Female,"""They Settled Near a Marsh""",1995,Interior ,Mural,Painting ,Oil enamel on plywood 
Houck,Lisa,Female,"""This is Where We Saw the Eclipse""",1995,Interior ,Mural ,Painting ,Oil enamel on plywood 
Beer,Vivian,Female,"""Thunderhead""",2012,Exterior,Sculpture,Metal,Steel
Tyler,James,Male ,"""Tower of East Cambridge Faces""",1986,Exterior ,Sculpture ,Bronze ,Bronze 
Glier,Michael,Male ,"""Town Green""",2004,Interior ,Mural ,Paintings,Acrylic on sheetrock 
Cauthen,Gene,Male ,"""Trellis""",1986 (original lost and replaced in 2008),Exterior ,Sculpture ,Bronze ,Bronze 
Rosenberg,Lilli Ann,Female ,"""Tribute to Martin Luther King, Jr.""",1985,Exterior ,Sculpture ,"Mosaic-Mixed Media, Ceramic Tiles ","Ceramic tiles, Mixed Media"
Rosenberg,Lilli Ann,Female ,"""Turtles""",1989,Exterior ,Sculpture ,"Mosaic-Mixed Media, Concrete ","Mixed Media, Concrete, Granite "
Baring-Gould,Laura,Female ,"""Water For All"" (community garden)",2013,Exterior,Sculpture,Bronze Fountain,
Baring-Gould,Laura,Female ,"""Water For All"" (pathway)",2013,Exterior,Sculpture,Bronze Fountain,
Selvage,Nancy,Female ,"""Water Wall""",2007,Exterior ,Sculpture ,Metal ,Steel
Cauthen,Gene,Male ,"""Workers""",1986,Exterior ,Sculpture ,Bronze ,Bronze 
Thurston,Randal,Male ,"""Yerxa Road Underpass"" (ceramic tiles)",2006,Exterior ,Sculpture ,Tiles-Ceramic,Ceramic tiles
McKie,Judy ,Female ,“Alley Cats”,2005,Exterior ,Sculpture ,Bronze ,Silicon bronze 
Von Huene,Andreas,Male ,“Salmones Salari” (The Great Leaper),2004,Exterior ,Sculpture ,Stone Fountain,Granite 
Dewart,Murray,Male ,“The Late Flower Alphabet”,2003,Exterior ,Sculpture,Bronze ,Bronze 
Ukeles,Mierle,Female,“Turnaround/Surround”,2001,Exterior ,Sculpture ,Concrete ,Concrete 
Wodiczko,Krzysztof,Male ,Illumination Project for the Robert W. Healy Public Saftey Facility,2009,Exterior ,Electronic media ,Digital-Lighting installation ,"LED Lights, Metal, Computer Software"
Arai,Tomie,Female,Morse School Mural,1999,Interior ,Mural ,Painting ,Acrylic on birch
Lichtman,Linda,Female ,Untitled,1980,Interior,Sculpture,Stained Glass,Glass 
Shores,Robin,Female,Untitled (bollard with crossed arms figure),1981,Exterior ,Sculpture ,Concrete ,Concrete 
