LastName ,FirstName,ArtistGender,Title,Year,InteriorExterior ,Category,CategoryNum,Object Type,Material,MaterialNum,Neighborhood,NeighborhoodNum
Lichtman,Linda,Female ,Untitled,1980,Interior,Sculpture,3,Stained glass,Glass ,1,Central Square/Cambridgeport,3
Turre,Michele,Female,"""Cambridge and its Watershed""",1983,Interior ,Mural,2,Painting ,Acrylic on masonite ,2,Fresh Pond/Strawberry Hill,4
Boyajian,Gail,Female ,"""Otter Fence""",2001,Exterior ,Sculpture ,3,Metal-Painted Steel,Painted steel,2,Fresh Pond/Strawberry Hill,4
Oatman,Michael,Male ,"""The Cantabrigians""",2009,Interior ,Electronic Media ,1,Digital-Moving Image,3 LCD monitors and a Mac Mini,2,Fresh Pond/Strawberry Hill,4
Baring-Gould,Laura,Female ,"""Water For All"" (community garden)",2013,Exterior,Sculpture,3,Bronze Fountain,Bronze,1,Fresh Pond/Strawberry Hill,4
Baring-Gould,Laura,Female ,"""Water For All"" (pathway)",2013,Exterior,Sculpture,3,Bronze Fountain,Bronze,1,Fresh Pond/Strawberry Hill,4
Simun,Konstantin,Male ,"""Fokin Memorial""",2001,Exterior ,Sculpture ,3,Bronze-Gilded,Bronze ,1,Harvard Square,5
Pinto,Jody,Female,"""New Palmer""",2008,Exterior ,Sculpture ,3,Mixed media,"Fiberglass, concrete, steel ",3,Harvard Square,5
Dorrien,Carlos,Male ,"""Quiet Cornerstone""",1986,Exterior ,Sculpture ,3,Stone ,Granite ,1,Harvard Square,5
Von Huene,Andreas,Male ,"""Salmones Salari"" (The Great Leaper)",2004,Exterior ,Sculpture ,3,Stone Fountain,Granite ,1,Harvard Square,5
Phillips,David,Male ,"""Spiral""",1997,Exterior ,Sculpture ,3,Bronze,Bronze,1,Harvard Square,5
Phillips,David,Male ,"""Beach Fragments""",1986,Exterior ,Sculpture ,3,Bronze,"Silicon bronze, brick ",2,Lechmere/East Cambridge,6
Simonds,Nancy,Female,"""Beacon of Color""",2011,Exterior ,Mural,2,Painting,Acrylic on Sintra,2,Lechmere/East Cambridge,6
Gerakaris,Dimitri,Male ,"""Centanni Way Garden Sculpture""",1989,Exterior ,Sculpture ,3,Metal-Painted Wrought Iron,Paint and wrought iron,2,Lechmere/East Cambridge,6
McKie,Todd,Male ,"""C'mon In The Water's Fine!""",2006,Exterior,Mural,2,Painting,Acrylic on concrete ,2,Lechmere/East Cambridge,6
Greenamyer,George,Male ,"""East Cambridge - 1852""",1988,Exterior ,Sculpture ,3,Metal-Painted Steel,Steel ,1,Lechmere/East Cambridge,6
Judelson,David,Male ,"""Flag Fragments""",1987,Exterior ,Sculpture,3,Tiles-Ceramic,Clay,1,Lechmere/East Cambridge,6
Hamrol,Lloyd,Male ,"""Gate House""",1986,Exterior ,Sculpture ,3,Metal-Painted Steel,Enamel on steel ,2,Lechmere/East Cambridge,6
Harries,Mags,Female ,"""Gateway""",1983,Interior ,Sculpture ,3,Wood-Painted,"Wood, enamel, lights ",3,Lechmere/East Cambridge,6
Schelling,Robert,Male ,"""Gore Field""",2006,Exterior ,Sculpture ,3,Bronze ,Bronze ,1,Lechmere/East Cambridge,6
Bell,Roberley,Female,"""Here and There""",2008,Exterior ,Sculpture ,3,Metal-Painted Steel,Paint on steel,2,Lechmere/East Cambridge,6
Wainwright,William,Male ,"""Never Green Tree""",1987,Exterior ,Sculpture ,3,Metal-Mixed Media,"Steel, aluminum, mylar ",3,Lechmere/East Cambridge,6
Tyler,James,Male ,"""Tower of East Cambridge Faces""",1986,Exterior ,Sculpture ,3,Bronze ,Bronze ,1,Lechmere/East Cambridge,6
