Last Name ,First Name,Artist Gender,Title,Year,InteriorExterior ,Category,CategoryNum,Object Type,Material,MaterialNum
Wainwright,William,Male ,"""Never Green Tree""",1987,Exterior ,Sculpture ,3,Metal-Mixed Media,"Steel, aluminum, mylar ",3
Gillick,Liam,Male ,"""The Librarian Speaks""",2009,Exterior ,Sculpture,3,Metal-Painted Aluminium,Painted Aluminium,2
Zeigler,Mel,Male ,"""Taking Note""",2013,Interior,Scuplture,3,Metal-Painted Aluminum,Painted Aluminum,2
Coogan,Jay,Male ,"""Stop-Action-Frieze""",1997,Interior ,Sculpture ,3,Metal-Painted Aluminum,Painted Aluminum,2
Lord,Madeleine,Female,"""Revolutionary Figures""",1987,Exterior ,Sculpture ,3,Metal-Painted Steel,Cut and painted steel ,2
Bell,Roberley,Female,"""Here and There""",2008,Exterior ,Sculpture ,3,Metal-Painted Steel,Paint on steel,2
Boyajian,Gail,Female ,"""Otter Fence""",2001,Exterior ,Sculpture ,3,Metal-Painted Steel,Painted steel,2
Hamrol,Lloyd,Male ,"""Gate House""",1986,Exterior ,Sculpture ,3,Metal-Painted Steel,Enamel on steel ,2
Greenamyer,George,Male ,"""East Cambridge - 1852""",1988,Exterior ,Sculpture ,3,Metal-Painted Steel,Steel ,1
Gerakaris,Dimitri,Male ,"""Centanni Way Garden Sculpture""",1989,Exterior ,Sculpture ,3,Metal-Painted Wrought Iron,Paint and wrought iron,2
Galston,Beth,Female ,"""Shadow Walk"" (formerly ""Sun Arc"")",1984,Exterior ,Sculpture ,3,Metal-Steel,Steel ,1
Pinto,Jody,Female,"""New Palmer""",2008,Exterior ,Sculpture ,3,Mixed media,"Fiberglass, concrete, steel ",3
Louden,Sharon ,Female ,"""Plantings on the Charles""",2009,Exterior ,Sculpture,3,Mixed media,Steel Wire and Reflectors,2
Maduna,Vusumuzi,Male ,"""Inner City Totem I""",1981,Exterior ,Sculpture ,3,Mixed media,"Steel, wood ",2
Hsu,Lillian,Female ,"""Sitting Coves""",2001,Interior ,Sculpture ,3,Mixed media,"Wood, paint, glass block",3
Driscoll,Ellen,Female ,"""Filament/Firmament""",2010,Interior ,Sculpture ,3,Mixed media,"Etched glass, zinc panels, textile, imagery ",4
Beatty,Michael,Male ,"""Spectrum""",2001,Interior ,Sculpture ,3,Mixed media,"Wood, steel ",2
Taho,Ritsuko,Female  ,"""Multicultural Manifestoes""",1997,Exterior ,Sculpture ,3,Mixed media ,"Glass, brick, brass, granite ",4
Maduna,Vusumuzi,Male ,"""Inner City Totem II""",1983,Exterior ,Sculpture ,3,Mixed media ,"Steel, wood ",2
